issue_number,filename,key,public_url,bytes,ms,status,error
56,Copy of BRJ-56-Spring-Summer-2012.pdf,pdfs/issues/issue-56.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-56.pdf,4308936,1678,ok,
58,Copy of BRJ-58-Spring-Summer-2013.pdf,pdfs/issues/issue-58.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-58.pdf,2850062,1699,ok,
50,Copy of BRJ-50-Winter-Spring-2009.pdf,pdfs/issues/issue-50.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-50.pdf,3047154,3545,ok,
57,Copy of BRJ-57-Autumn-Winter-2013.pdf,pdfs/issues/issue-57.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-57.pdf,2734132,1994,ok,
53,Copy of BRJ-53-Fall-Winter-2010.pdf,pdfs/issues/issue-53.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-53.pdf,3081905,3337,ok,
61,Copy of BRJ-61-Autumn-Winter-2015.pdf,pdfs/issues/issue-61.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-61.pdf,3150738,1143,ok,
60,Copy of BRJ-60-Spring-Summer-2014.pdf,pdfs/issues/issue-60.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-60.pdf,2599832,1533,ok,
59,Copy of BRJ-59-Autumn-Winter-2014.pdf,pdfs/issues/issue-59.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-59.pdf,2842083,2854,ok,
64,Copy of BRJ-64-Spring-Summer-2016.pdf,pdfs/issues/issue-64.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-64.pdf,2907754,1173,ok,
63,Copy of BRJ-63-Autumn-Winter-2016.pdf,pdfs/issues/issue-63.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-63.pdf,3101068,1956,ok,
68,Copy of BRJ-68-Autumn-Winter-2019.pdf,pdfs/issues/issue-68.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-68.pdf,2663899,1263,ok,
67,Copy of BRJ-67-Autumn-Winter-2018.pdf,pdfs/issues/issue-67.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-67.pdf,2796261,1907,ok,
69,Copy of BRJ-69-Spring-Summer-2019.pdf,pdfs/issues/issue-69.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-69.pdf,2792724,1312,ok,
65,Copy of BRJ-65-Autumn-Winter-2017.pdf,pdfs/issues/issue-65.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-65.pdf,3012452,2485,ok,
66,Copy of BRJ-66-Spring-Summer-2017.pdf,pdfs/issues/issue-66.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-66.pdf,3212642,2559,ok,
71,Copy of BRJ-71-Autumn-2020.pdf,pdfs/issues/issue-71.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-71.pdf,2694808,1130,ok,
62,Copy of BRJ-62-Spring-Summer-2015.pdf,pdfs/issues/issue-62.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-62.pdf,3128183,3525,ok,
72,Copy of BRJ-72-Spring-Summer-2021.pdf,pdfs/issues/issue-72.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-72.pdf,2703835,1226,ok,
74,Copy of BRJ-74-August-2022.pdf,pdfs/issues/issue-74.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-74.pdf,2938210,1128,ok,
70,Copy of BRJ-70-Winter-2019-2020.pdf,pdfs/issues/issue-70.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-70.pdf,2777090,2558,ok,
73,Copy of BRJ-73-January-2022.pdf,pdfs/issues/issue-73.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-73.pdf,2673231,1508,ok,
75,Copy of BRJ-75-February-2023.pdf,pdfs/issues/issue-75.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-75.pdf,2615616,1978,ok,
